itemId,category,name,brandName,url,price,averageRating,totalReviews,retrievedDate
100002528,beli-harddisk-eksternal,"TOSHIBA Smart HD LED TV 32"" - 32L5650VJ Free Bracket TV - Hitam - Khusus Jabodetabek",Toshiba,https://www.lazada.co.id/products/toshiba-smart-hd-led-tv-32-32l5650vj-free-bracket-tv-hitam-khusus-jabodetabek-i100002528-s100003593.html?search=1,2499000,4,8,2019-10-02
100003785,beli-harddisk-eksternal,"TOSHIBA Full HD Smart LED TV 40"" - 40L5650VJ - Hitam - Khusus Jabodetabek",Toshiba,https://www.lazada.co.id/products/toshiba-full-hd-smart-led-tv-40-40l5650vj-hitam-khusus-jabodetabek-i100003785-s100006061.html?search=1,3788000,3,3,2019-10-02
100004132,beli-harddisk-eksternal," Samsung 40 Inch Full HD Flat LED Digital TV 40J5000",LG,https://www.lazada.co.id/products/samsung-40-inch-full-hd-flat-led-digital-tv-40j5000-i100004132-s100006644.html?search=1,3850000,3,2,2019-10-02
100004505,beli-harddisk-eksternal,"Sharp HD LED TV 24"" - LC-24LE175I - Hitam",Sharp,https://www.lazada.co.id/products/sharp-hd-led-tv-24-lc-24le175i-hitam-i100004505-s100007387.html?search=1,1275000,3,11,2019-10-02
100005037,beli-harddisk-eksternal,"Lenovo Ideapad 130-15AST LAPTOP MULTIMEDIA I AMD A4-9125 I 8GB DDR4 I 1TB HDD I AMD Radeon R3 I 15,6 HD LED I DVDRW I DOS",Lenovo,https://www.lazada.co.id/products/lenovo-ideapad-130-15ast-laptop-multimedia-i-amd-a4-9125-i-8gb-ddr4-i-1tb-hdd-i-amd-radeon-r3-i-156-hd-led-i-dvdrw-i-dos-i100005037-s100008405.html?search=1,3984100,5,1,2019-10-02
100006860,beli-harddisk-eksternal,Sandisk Flashdisk Cruzer Glide CZ60 16GB + iRing Mobile Phone.,SanDisk,https://www.lazada.co.id/products/sandisk-flashdisk-cruzer-glide-cz60-16gb-iring-mobile-phone-i100006860-s100011084.html?search=1,55800,4,2,2019-10-02
100007498,beli-harddisk-eksternal,Asus X407UB-BV187T Laptop Multimedia Murah I Core™ i5-8250U I 4GB DDR4 I 1TB HDD + SLOT SSD M2 I NVIDIA GeForce MX110 2GB I WINDOWS 10 I NO DVDRW I 14.0 HD USLIM,Asus,https://www.lazada.co.id/products/asus-x407ub-bv187t-laptop-multimedia-murah-i-core-i5-8250u-i-4gb-ddr4-i-1tb-hdd-slot-ssd-m2-i-nvidia-geforce-mx110-2gb-i-windows-10-i-no-dvdrw-i-140-hd-uslim-i100007498-s100012101.html?search=1,8132000,5,2,2019-10-02
100010722,beli-harddisk-eksternal,"Philips 32PHA3052S/70 32"" Televisi LED (FREE Bracket LED) - Khusus JABODETABEK",Philips,https://www.lazada.co.id/products/philips-32pha3052s70-32-televisi-led-free-bracket-led-khusus-jabodetabek-i100010722-s100016473.html?search=1,1990000,4,10,2019-10-02
100010745,beli-harddisk-eksternal,Philips 39PHA4251S/70 39' Televisi LED (FREE Bracket LED) - Khusus JABODETABEK,Philips,https://www.lazada.co.id/products/philips-39pha4251s70-39-televisi-led-free-bracket-led-khusus-jabodetabek-i100010745-s100016504.html?search=1,3190000,4,7,2019-10-02
100015720,beli-harddisk-eksternal,Acer E5 575G-74E2 - Core i7-6500U - RAM 8GB DDR4 - HDD 1TB - VGA Nvidia 940MX 2GB - Black,Acer,https://www.lazada.co.id/products/acer-e5-575g-74e2-core-i7-6500u-ram-8gb-ddr4-hdd-1tb-vga-nvidia-940mx-2gb-black-i100015720-s100022510.html?search=1,8000000,3,8,2019-10-02
